Line Item,EUR,Margin %
Revenue,28495,100.0
Cost of Goods Sold (COGS),4430,15.5
Gross Profit,24065,84.5
"Selling, General & Administrative (SG&A)",6500,22.8
Operating Profit,17565,61.7
