Line Item,EUR,Margin %
Revenue,168731,100.0
Cost of Goods Sold (COGS),14907,8.8
Gross Profit,153824,91.2
"Selling, General & Administrative (SG&A)",28000,16.6
Operating Profit,125824,74.6
