Line Item,EUR,Margin %
Revenue,85849,100.0
Cost of Goods Sold (COGS),9005,10.5
Gross Profit,76844,89.5
"Selling, General & Administrative (SG&A)",15000,17.5
Operating Profit,61844,72.0
